Full Name, Age, Phone number, Street Adress, Code, City, Pet
Eirik Fossum,68,809 12 806,Tinglyngen 62,6471,Mal,Somali
Jonathan Kristiansen,31,688 94 613,Heggehavna 9,0234,Vest,Nebelung
Andrea Wold,58,193 28 131,Gamle Kugropa 5,8398,Sand,Istrian Shorthaired Hound
Prof. Ingrid Tangen,87,67 28 49 97,Mathildesvei 61,9760,Fet,Oriental
Dr. Alexander Skoglund IV,76,54 71 92 51,Nordskaugveien 07,3435,Lo,American Bobtail
Thomas Kristoffersen,52,66 69 07 55,Granittstykket 82,4149,Vest,undefined
Aksel Østby,88,40261030,Sjøkroken 61,0943,Mal,Toyger
Dr. Marte Nordskaug I,53,607 63 295,Bekkeåsen 6,1915,Høy,Ragdoll
Hanna Krogh,35,022 40 036,Lundesgate 89,0709,Høy,Bombay
Lars Finstad,58,+47 46 20 72 09,Heggevika 33,0924,Høy,Aidi
Eline Ryan,22,28 34 65 87,Øvre Lillegrenda 7,0593,Fager,Shikoku
Dr. Sander Østby III,46,07551002,Vestre Fossestubben 6,0781,Stav,Siamese
Marte Skoglund,48,70 65 52 90,Furulyngen 94,0515,Tand,undefined
Martine Kristoffersen,69,04298620,Danielsens Gate 6,0149,Lo,Portuguese Water Dog
Maja Evensen,64,89084901,Gamle Kustubben 4,7588,Fager,Indian Spitz
Silje Thoresen,68,null,Søndre Solkollen 61,0688,Fet,Sphynx
Ingrid Lie,94,285 91 911,Vestre Bergtoppen 8,0816,Ut,Ojos Azules
Tiril Gundersen,93,+47 62 87 30 30,Andreass Gate 71,2095,Lo,Russian Toy
Madeleine Røed,75,59 52 85 69,Bjørkeskogen 17,3572,Fet,Rampur Greyhound
Kristine Huseby,62,55 02 98 85,Aasengata 1,0696,Sand,Villanuco de Las Encartaciones
Simen Johansen,69,89 67 56 18,Mariesvei 7,8292,Sme,Munchkin
Maren Arnesen,56,943 75 645,Pedersensvei 6,7186,Stav,Oriental
Isak Fredriksen,23,63 43 83 10,Bekkelunden 2,8122,Nord,Snowshoe
Natalie Gundersen,20,+47 84 41 94 14,Johnsens Vei 71,5309,Fager,Chesapeake Bay Retriever
Dr. Leah Bakke Sr.,70,36 77 85 17,Maris Vei 7,0774,Ut,Griffon Bleu de Gascogne
Kristoffer Østli,36,93049495,Vestre Kugropa 1,6072,Høy,Kurilian Bobtail
Jørgen Ødegård,87,+47 88 32 24 03,Søndre Bekkekroken 6,0997,Mal,Treeing Walker Coonhound
Prof. Andrea Olstad,46,+47 51 47 93 43,Joakims Gate 3,0492,Inn,Havana
Eline Berge,87,190 33 850,Hestemyrringen 6,0226,Mal,Chinese Chongqing Dog
Nora Sørensen,26,51699549,Bjerkes Gate 1,0837,Sme,Dogue Brasileiro
Sara Vedvik I,21,72160761,Danielsenveien 73,8426,Tand,Egyptian Mau
Thomas Østli,15,372 85 421,Martes Vei 3,1620,Stav,Leonberger
Kasper Kristoffersen II,53,793 95 173,Høytunet 89,3119,Sme,Persian
Isak Solberg,84,354 61 157,Gamle Solduggkollen 1,3041,Nær,Japanese Bobtail
Mikkel Gran,57,25358951,Elinesgate 4,5127,Gjes,Can de Chira
Marte Karlsen,89,+47 30 74 98 90,Øvre Sjøskogen 5,0508,Nær,American Curl
Marte Rasmussen,31,00770224,Malmstien 0,6063,Tand,Bouvier des Flandres
Sandra Christiansen,82,+47 40 73 94 78,Carlsensgate 2,0144,Høy,Gull Dong
Aksel Rasmussen,83,789 46 585,Torgersens Gate 27,4312,Tand,Bloodhound
Jakob Jakobsen I,42,73354407,Hansensvei 95,0283,Lille,American Bobtail
Maria Kvarme,85,98758822,Anderssvei 6,0275,Sand,Chausie
Jenny Røed,47,+47 89 83 98 62,Kristoffers Vei 3,6444,Stor,Siberian
Dr. Daniel Eide,85,44 59 66 66,Furuhagen 1,1733,Gjes,Ocicat
36,49 85 18 99,Vestre Granhavna 4,8039,Lo,Egyptian Mau
Jørgen Fredriksen,68,+47 29 97 28 44,Siljes Vei 8,4319,Ut,Bohemian Shepherd
Madeleine Johnsen,60,24930096,Østre Tingroa 98,2477,Sme,Skye Terrier
Amalie Andersen,24,+47 93 22 70 99,Østre Brumyra 26,6472,Stav,Somali
Dr. Emilie Karlsen,44,997 61 988,Østre Brutjernet 01,5380,Stor,Bosnian Coarse-haired Hound
Simen Myhrer,48,318 99 504,Kirkebakken 1,2557,Lo,Weimaraner
Eirik Svendsen,57,508 41 141,Fiolstykket 61,0133,Fet,Serengeti
Prof. Jakob Myhrer,38,+47 69 67 12 00,Pettersens Gate 0,5475,Fager,American Shorthair
Dr. Helene Andersen,46,+47 07 62 56 15,Nordbygata 4,3699,Stor,Singapura
Martine Strand II,30,65 76 63 22,Johanness Gate 00,9310,Gjes,Chausie
Even Berntsen,38,00019931,Fjelds Gate 98,7867,Sand,Burgos Pointer
Prof. Magnus Borge,41,22 43 72 10,Vestre Geiteryggberget 11,7207,Tand,Galgo Español
Linnea Sørlie,28,tiquj2z7d,Karolines Vei 89,4289,Stor,Indian Spitz
Ingrid Kristiansen,65,302 94 717,Elises Vei 13,6443,Fet,Kars
Marius Skuterud II,47,23271261,Fossekroken 1,1504,Stor,Australian Stumpy Tail Cattle Dog
Elias Holm,32,32 25 86 55,Brualléen 98,8409,Nord,Cornish Rex
Eline Gran,37,18195109,Gamle Granitttoppen 6,2537,Nær,Doberman Pinscher
Eirik Krogh,48,70922304,Vasslia 30,2706,Fet,Newfoundland
Aurora Bakke,17,+47 73 09 22 92,Brustien 0,0671,Inn,Serengeti
Dr. Isak Nygård,50,45 43 02 00,Torglunden 54,0958,Fet,Donskoy
Lucas Hopland,21,+47 83 95 83 45,Pettersens Gate 1,6066,Fet,Pyrenean Mountain Dog
Henrik Johannessen,85,08 78 70 63,Søndre Vasshaugen 2,1854,Sand,Bengal
Mikkel Aasen,82,507 49 537,0705,Lo,Minskin
Jakob Thoresen I,15,+47 63 08 80 32,Vestre Vasshøgda 3,8867,Ut,Artois Hound
Dr. Jonathan Stensrud IV,46,161 23 258,Moegata 85,6541,Vest,Border Collie
Prof. Ingrid Haugen,40,303 61 935,Vestre Heggegrenda 88,0477,Stor,Griffon Fauve de Bretagne
Eline Johansen,50,96389850,Fredriks Gate 70,0547,Sand,Ocicat
Linnea Halvorsen,19,11655756,Damholtet 8,0976,Ut,Hygen Hound
Victoria Berge,93,73820703,Mariuss Gate 1,1232,Fager,Turkish Van
William Østli,25,86238112,Sandragata 03,2341,Mal,LaPerm
Martin Arnesen,58,46 92 00 25,Aurorasvei 56,4317,Mal,Tonkinese
Ingrid Thoresen,25,68 43 81 28,Madeleinegata 5,6770,Stor,Balinese
Kristoffer Arnesen,85,+47 49 22 12 87,Elvebråten 3,8123,Tand,Taigan
Filip Johnsen,30,null,Kueggen 97,0593,Stav,Wirehaired Vizsla
Fredrik Holm,55,22 65 76 16,Fiolgropa 39,0351,Lille,British Shorthair
Even Smogeli,34,+47 58 27 19 86,Rognevollen 82,1466,Stor,Finnish Spitz
Jørgen Sæther,91,83956660,Sondres Gate 2,8326,Ut,Turkish Van
Dr. Camilla Ruud,30,+47 67 25 33 95,Bergsgate 7,0079,Nær,Cretan Hound
Oda Hagen,37,66883962,Nedre Hestemyrstubben 6,7494,Fet,Affenpinscher
Kasper Aas,50,67411494,Øvre Furulyngen 22,0636,Nær,Karst Shepherd
Maja Vedvik,62,09811538,Berntsenveien 4,6426,Vest,Maltese
Mari Jørgensen,81,63 20 76 35,Tingvollen 31,4106,Fager,Japanese Bobtail
Maria Eide,29,053 63 147,Benjaminsgate 56,0678,Mal,Norwegian Elkhound
Jonathan Fredriksen,71,87 32 09 05,Øvre Solalléen 8,5796,Vest,Irish Wolfhound
Elise Evensen,91,53706505,Gransvei 22,0169,Nær,Korat
Markus Røed,42,43663273,Berglyngen 1,9855,Ut,German Wirehaired Pointer
Aksel Andersen,67,16923767,Vestre Prestelyngen 3,7558,Stor,Sarabi dog
Erik Olstad III,44,335 20 696,Kvarmes Vei 6,5914,Vest,American Bobtail
Benjamin Aas,64,79091566,Høyåsen 0,6541,Inn,Bracco Italiano
Linnea Martinsen,79,+47 89 57 81 35,Presteskrenten 5,0493,Sme,Manx
Sara Thoresen III,40,84593450,Olstadsgate 56,6904,Nord,Kanni
Elise Hopland,46,+47 86 38 11 08,Andersgata 7,0282,Ut,Pumi
Even Glosli,31,null,Svendsenveien 80,1300,Høy,Egyptian Mau
Prof. Henrik Johansen,59,182 77 658,Gamle Vasslia 4,0034,Gjes,undefined
Henrik Lie,41,38 36 67 54,Benjamins Vei 2,5025,Lo,Kintamani
Frida Løken,26,08474510,Aurorasvei 5,1833,Mal,Bengal
Kristine Haukelidsæter I,80,076 52 384,Fossebakken 3,0194,Lille,Japanese Spitz
Sandra Lie,76,+47 02 58 34 06,Jørgensensvei 0,0652,Lille,Austrian Pinscher
Prof. Julie Andersen,17,+47 37 97 36 86,Øvre Bjørkestranda 9,4268,Nær,Small Münsterländer
Andrea Halvorsen,71,62 16 87 80,Prestegjerdet 8,3987,Lo,Himalayan
Andreas Arnesen,57,56 56 81 55,Celines Gate 0,3022,Ut,Chartreux
Dr. Mathilde Danielsen,37,+47 40 10 05 07,Siljes Gate 46,7155,Sand,Dingo
Prof. Martin Carlsen,73,08812632,Olsengata 3,0010,Sand,Mackenzie River Husky
Ole Hopland,39,+47 90 11 22 89,Anderss Vei 2,0111,Vest,Donskoy
80,25705380,Olivers Gate 19,0747,Nord,Norwegian Forest Cat
Jonathan Stensrud,74,21236942,Emilsvei 60,0099,Tand,Birman
Maria Vegge,74,93280456,Jørgensvei 3,0877,Høy,Istrian Shorthaired Hound
Madeleine Jørgensen,27,+47 19 16 61 00,Vestre Geiteryggmyra 84,2494,Sme,Lakeland Terrier
Anders Wold,72,03588351,Saragata 41,7292,Fager,Brussels Griffon
Aurora Ryan,31,+47 17 24 58 54,Solroa 5,3629,Inn,Turkish Angora
Oliver Johnsen,26,381 33 673,Johannesgata 8,0806,Stor,Egyptian Mau
Mia Aalerud,66,14079488,Søndre Damhøgda 1,8136,Fager,Donskoy
Sebastian Mathisen IV,69,16747433,Mathiassgate 4,0668,Ut,Toyger
Linnea Nielsen,74,27 17 44 88,Odas Vei 2,8891,Tand,Sussex Spaniel
Jakob Jørgensen,88,400 31 283,Malinsgate 8,5727,Inn,Bosnian Coarse-haired Hound
83,645 87 025,Nordskaugsvei 46,8833,Stor,Scottish Fold
Mari Christiansen,73,47 79 26 85,Kuspranget 6,0676,Gjes,American Curl
Helene Solli,80,046 77 666,Vestre Blåveiskroken 3,9611,Stav,Oriental
Henrik Kvarme,49,80272252,Østre Torgkollen 89,9757,Mal,Bullmastiff
Erik Sørlie,18,04 60 40 88,Håkonsgate 93,0175,Stor,Highlander
Jonas Amundsen,81,+47 99 77 41 05,Nedre Klokkermyra 1,7641,Tand,Siberian
Natalie Bakke,42,33887438,Siljes Gate 5,9179,Lo,Tibetan Spaniel
Sofie Haukelidsæter Jr.,28,13097267,Blåveisåsen 0,1614,Mal,Old English Terrier
Prof. Nora Berntsen,88,+47 22 80 99 23,Solduggåsen 02,0783,Tand,Persian
Mina Johnsen,50,37986364,Thomassgate 1,0662,Sand,Selkirk Rex
Eline Fredriksen,83,30984711,Østre Lillehavna 02,0426,Sme,Scottish Fold
Alexander Stensrud,17,+47 19 12 86 27,Søndre Presterøa 1,0389,Stor,Toyger
Sondre Vegge,31,68918916,Kristiansens Gate 3,6296,Mal,Black Mouth Cur
Eirik Danielsen,84,18 81 39 85,Smedsrudgata 7,6953,Nord,Somali
Silje Johansen II,89,484 17 843,Østre Konvallflata 0,1141,Stor,Somali
Aksel Nygård,31,+47 76 73 71 92,Jacobsens Gate 59,6421,Lille,American Wirehair
Tuva Krogh,87,90 67 92 17,Camillas Vei 3,0906,Fet,Savannah
Prof. Theodor Borge,35,+47 76 92 14 85,Furustien 34,9102,Gjes,Abyssinian
Lars Gundersen,71,+47 42 73 12 54,Kulyngen 53,1609,Gjes,Sloughi
Maja Andreassen,33,68102888,Gamle Bekkeroa 3,6732,Lo,Munchkin
Thea Mathisen,33,71865913,Woldsvei 52,1465,Inn,Nebelung
Tuva Berntsen,34,41 39 99 03,Karolines Gate 26,0857,Fager,American Curl
Camilla Skuterud,31,84376636,Søndre Geiteryggberget 16,5821,Sme,English Setter
Dr. Ida Andresen,18,85698545,0273,Tand,Russian Blue
Sebastian Kleven,23,98 52 68 58,Lucassgate 26,0373,Sand,Toyger
Mathias Skuterud,72,70801051,Aasens Gate 61,2452,Fager,Polish Hound
Prof. Mathilde Fredriksen,69,+47 77 74 08 39,Tinghavna 3,0755,Ut,Serengeti
Dr. Kristine Hansen,31,35 50 15 47,Hestemyrroa 7,1410,Lille,Siberian
Maria Bjørnstad,92,873 72 250,Larss Vei 18,0883,Høy,Siamese
Mia Moen,73,955 77 337,Sæthers Vei 1,9706,Inn,Munchkin
Henrik Gran,50,81760683,Nedre Elveflata 29,8422,Stor,Japanese Terrier
Håkon Huseby,94,756 42 896,Gamle Eikestranda 7,7086,Fet,South Russian Ovcharka
Dr. Leah Nygård,45,+47 67 00 26 60,Vestre Høylunden 9,0589,Sme,Boerboel
Ida Dahl,73,49158617,Smedsrudgata 25,0690,Nær,Old English Terrier
Julie Carlsen,27,40 62 37 12,Nedre Brurøa 72,0921,Høy,English Toy Terrier
Helene Tangen,74,24783392,Tuvaveien 7,5089,Tand,Somali
Camilla Fossum,46,+47 82 05 03 15,Eriksensgate 82,0592,Stav,Ojos Azules
Mats Vedvik,84,02797667,Andreasveien 8,0203,Ut,undefined
Maria Amundsen,49,030 08 026,Søndre Torgspranget 81,3241,Lo,American Wirehair
Camilla Lunde,91,86 93 88 62,Fiolgjerdet 09,9047,Sme,Peterbald
Prof. Filip Solberg,83,+47 15 13 36 07,Nguyengata 22,7601,Ut,Egyptian Mau
Dr. Frida Østli,84,594 57 106,Eiriksvei 7,0635,Lo,Maine Coon
Martin Skuterud,67,114 25 352,Litjspranget 0,8498,Høy,Highlander
Thea Kvarme,73,36928202,Finstadsvei 4,8085,Nær,Snowshoe
Marte Moen,26,+47 04 77 13 98,Østre Lillespranget 43,4364,Nær,Bluetick Coonhound
Prof. Karoline Halvorsen,20,56 98 23 81,Gamle Torgroa 23,9619,Høy,Minskin
Isak Strand,87,470 44 798,Jonathansgate 33,0781,Inn,Nebelung
Camilla Pedersen,40,44767359,Nedre Konvalljordet 19,0208,Mal,Savannah
Dr. Henrik Carlsen,42,31822954,Karolinesvei 6,3799,Mal,Cão de Gado Transmontano
Johannes Ruud,49,11 35 42 47,Mathildes Vei 3,9508,Stav,Burgos Pointer
Erik Olsen,69,+47 54 52 42 04,Linneaveien 90,3734,Ut,Dunker
Dr. Henrik Olstad,93,78 16 44 38,Kugrenda 5,0430,Nær,Peterbald
Sondre Solli,73,+47 85 27 39 72,Majas Vei 7,5388,Vest,German Wirehaired Pointer
Alexander Jacobsen,84,54718550,Heggeflata 7,2407,Fet,Bengal
Prof. Tuva Nielsen,46,+47 63 17 16 70,Nedre Bjørkevollen 01,1876,Sme,Thai Bangkaew Dog
Noah Berge,92,51 26 30 86,Malmstranda 6,0924,Gjes,English Cocker Spaniel
Jonathan Halvorsen,49,+47 70 67 25 13,Bekkebråten 6,4376,Nær,Somali
Alexander Olstad V,32,632 80 421,Gamle Rogneløkka 6,6709,Sme,Korat
Tuva Haukelidsæter,36,+47 32 11 97 40,Søndre Tingvika 53,9552,Mal,Grand Anglo-Français Blanc et Orange
Silje Rasmussen,61,14 47 17 02,Øvre Torglyngen 7,0515,Fet,Balinese
Leah Tangen,48,72269207,Bakkeveien 6,2184,Sand,Dogo Guatemalteco
Lucas Østli,59,150 97 078,Konvallrøa 49,9146,Sme,Balinese
Simen Berge II,18,+47 04 67 41 61,Ødegårds Gate 21,7195,Nord,Pug
Kaja Eide,84,905 53 778,Østlisgate 8,4125,Høy,Burmese
Håkon Nordby,28,+47 46 78 93 55,Magnussgate 9,2600,Lille,Ratonero Mallorquin
Vilde Hansen,36,73223153,Nguyensvei 1,3233,Fet,Beauceron
Thomas Olstad,79,792 32 668,Marigata 0,8947,Gjes,Thai
Camilla Henriksen,67,43 70 08 64,Søndre Prestetoppen 2,7898,Høy,Bombay
Ida Nielsen,47,+47 04 17 99 36,Isakgata 9,1993,Tand,Egyptian Mau
Sunniva Myhrer,52,+47 33 59 60 91,Gamle Presteløkka 27,3943,Høy,LaPerm
Sebastian Smedsrud,90,98 74 05 62,Kirkeskogen 0,2737,Stor,Rough Collie
Madeleine Hansen,20,+47 06 77 54 53,Bjørkemyra 9,7541,Nær,Tyrolean Hound
Aksel Nilsen,94,+47 16 73 29 33,Emmas Vei 93,0157,Gjes,Balinese
Maria Karlsen,19,617 13 641,Sondres Vei 99,3228,Fager,American Bobtail
Maria Smogeli,78,321 85 440,Østre Elvegjerdet 47,6326,Sme,Bullmastiff
Elias Vedvik,87,324 50 847,Emmasgate 02,0101,Lo,Bullmastiff
Even Nguyen,33,982 90 954,Fossehagen 07,4045,Lo,undefined
Leah Kristensen,70,+47 78 77 25 18,Nedre Eikelunden 5,0409,Fet,Birman
Lars Kvarme,84,55786028,Soldugggata 19,1390,Fager,undefined
Dr. Eirik Wold Jr.,83,null,Ødegårdgata 13,0931,Høy,Standard Schnauzer
Dr. Jonas Fredriksen,34,115 17 227,Bruringen 1,0862,Inn,Bakharwal dog
Sondre Johnsen IV,61,00 90 58 38,Vestre Geiteryggmarka 9,6430,Fet,Havana
Dr. Hedda Berge,91,672 33 854,Litjhavna 8,5596,Stav,Havana
Aurora Nguyen II,74,07389282,Korslunden 87,1639,Tand,Kurilian Bobtail
Dr. Emil Østby,94,+47 90 63 72 13,Nedre Konvallstranda 26,0973,Fager,Polish Tatra Sheepdog
Marie Østby,28,552 33 025,Anderssgate 44,6820,Sand,Rafeiro do Alentejo
Eline Bjerke,21,38111934,Hansens Gate 4,0526,Sme,Savannah
Anna Rasmussen,33,98689530,Markusveien 24,0591,Ut,Pembroke Welsh Corgi
Sara Pedersen,64,643 50 617,Malmmyra 8,3058,Vest,Japanese Chin
Frida Haugen,38,23987361,Østre Sjømarka 14,0433,Mal,Savannah
Maren Strand,39,38953884,Nedre Elvemyra 1,0113,Mal,Polish Lowland Sheepdog
Prof. Julie Johannessen IV,51,518 83 285,Hermans Gate 49,3976,Sme,LaPerm
Dr. Mathilde Olsen,42,793 56 175,Nedre Kualléen 0,0814,Tand,Persian
Tobias Berg,31,+47 65 56 81 65,Eriks Gate 14,0301,Lo,Paisley Terrier
Nora Huseby,60,22 18 04 16,Martinsensvei 25,1741,Nær,Korat
Jørgen Henriksen,23,93 19 26 93,Øvre Tingroa 4,7056,Høy,Saint Bernard
Natalie Thoresen,75,92 60 84 39,Søndre Rognemyra 7,0007,Tand,Bearded Collie
Synne Rasmussen,73,+47 52 94 00 80,Kirkemarka 98,0034,Fager,Bedlington Terrier
80,+47 63 39 75 52,Noahsgate 8,3586,Ut,Devon Rex
Victoria Christiansen,69,54024941,Martes Vei 5,9509,Nord,Kanni
Nora Solberg,72,+47 16 50 08 50,Stensrudsvei 75,5021,Sme,Pixiebob
Kasper Torp,28,41 42 71 74,Nordbys Vei 00,9303,Ut,English Shepherd
Andreas Stensrud,30,+47 72 11 55 20,Andreasgata 59,0882,Vest,Selkirk Rex
Prof. Martin Edvardsen,92,+47 69 48 37 31,Noahs Vei 5,5352,Lille,Russian Spaniel
Dr. Leah Vegge,57,69078129,Vestre Eikestien 8,2423,Stav,Scottish Fold
Andreas Berntsen,70,723 58 711,Malinsgate 5,0723,Høy,Toy Manchester Terrier
Mia Henriksen,16,70253710,Malmplassen 31,8673,Stav,Oriental
Dr. Alexander Lunde V,45,61199836,Amundsensvei 3,0934,Gjes,Istrian Shorthaired Hound
Eirik Edvardsen,42,05 72 86 34,Nedre Torgrøa 0,2120,Inn,Anglo-Français de Petite Vénerie
Dr. Tiril Berge,28,+47 54 36 29 35,Granittringen 1,2417,Fet,Norrbottenspets
Vilde Nordskaug,32,642 82 703,Bergtoppen 0,2318,Stav,Somali
Daniel Edvardsen,30,29 51 03 84,Geiterygglyngen 1,0654,Ut,undefined
William Johannessen,22,72002841,Solfaret 2,2678,Gjes,Serengeti
Erik Ryan,44,03211586,Fossums Vei 79,0613,Nær,Serengeti
Dr. Marte Carlsen Sr.,60,735 77 043,Torgjordet 61,1718,Nord,Munchkin
Ole Kristensen,41,067 78 479,Hestemyrhøgda 2,0796,Lille,Silken Windhound
Lucas Solheim,18,719 70 878,Myhrersvei 5,9388,Stor,British Shorthair
Mathias Borge,40,78 68 98 75,Korsstykket 94,0107,Lille,Tibetan Mastiff
Synne Halvorsen,58,463 60 944,Stensrudveien 9,1562,Gjes,Ocicat
Leah Olstad,70,532 67 931,Søndre Elvegata 3,1474,Fager,American Wirehair
Tuva Haukelidsæter Jr.,55,+47 88 83 98 18,Kristensensgate 03,7512,Høy,Turkish Angora
Sebastian Vegge,59,+47 48 82 48 98,Nedre Vassstien 05,6792,Inn,Havana
Joakim Kristiansen,82,11715254,Lillestubben 08,4268,Sand,Bohemian Shepherd
Maja Bjerke,24,79 58 39 87,Martes Gate 07,4964,Mal,Peterbald
Elias Berntsen,49,352 43 005,Idasgate 1,9161,Lille,Serengeti
Sindre Berg V,80,963 93 085,Torggropa 45,2728,Vest,Turkish Van
Dr. Hedda Krogh Jr.,33,134 52 901,Kirkesvingen 5,0894,Nær,Vizsla
Dr. Celine Kristiansen,41,069 48 806,Vestre Bjørkehøgda 0,0542,Fager,Cão da Serra de Aires
Oskar Carlsen,81,+47 93 28 83 50,Joakims Gate 1,5247,Sme,Papillon
Emil Hagen,86,30359037,Fjeldsgate 2,9125,Lo,Serbian Hound
Mats Bakke V,32,423 41 292,Jakobsenveien 1,7651,Lo,Beauceron
Tobias Berg,45,+47 23 26 04 47,Kristoffersensvei 0,5408,Nord,Serengeti
Mia Jensen,28,788 69 127,Amalies Gate 85,1662,Høy,Harrier
Sebastian Solli,50,11787696,Søndre Konvallringen 83,0145,Sand,Japanese Bobtail
Herman Bakken,74,53 50 93 38,Søndre Prestetunet 2,0036,Sand,Serengeti
Elias Christiansen,68,540 81 407,Aasensvei 82,6227,Vest,Rottweiler
Marius Sæther,82,51064038,Østre Torggropa 47,2529,Vest,Greyhound
Kaja Smedsrud,75,12517095,Sondregata 22,0890,Sand,Rafeiro do Alentejo
Oliver Solheim,62,63208138,Andersgata 7,5572,Fet,Bombay
Martin Holm,87,95 55 20 86,Nilsens Gate 21,6836,Stor,Šarplaninac
Mari Eriksen,75,312 56 627,Jonasveien 6,7080,Tand,American Bully
Natalie Bakken,63,51291966,Vestre Eikevollen 74,4634,Stav,Bichon Frisé
Aksel Strand,43,05 97 68 94,Vestre Høystien 4,0454,Fager,Thai
Sebastian Gundersen,68,49 23 14 75,Nedre Klokkervika 59,3691,Nær,Australian Shepherd
Camilla Vedvik,28,704 63 068,Lucass Gate 60,0165,Tand,Balinese
Dr. Mathias Jensen,93,637 14 375,Damgata 3,0813,Tand,Havanese
Marte Solheim,71,+47 27 11 92 58,Nedre Bruhøgda 8,3169,Nær,Dogo Argentino
Erik Nygård,27,55 36 61 13,Eikejordet 92,7861,Mal,Ocicat
Celine Dahl,40,50 83 55 68,Tingvika 73,2593,Lo,Persian
Kristian Hopland V,30,null,Rognekroken 74,4952,Fager,British Shorthair
Eirik Bakke,89,30667516,Oliversgate 89,0237,Inn,Finnish Hound
Sofie Stensrud,15,wkgoegl26,Konvallsvingen 49,0782,Fet,Bombay
Eirik Thoresen,25,397 22 016,Victoriasvei 2,9169,Tand,Russian Blue
Marius Fjeld,60,44 62 05 59,Konvallhøgda 32,0888,Fet,Bearded Collie
Emma Haugen,40,45 00 77 57,Martineveien 5,1659,Tand,Birman
Sara Skoglund,60,371 73 419,Østre Bergbakken 55,6307,Fager,Siberian
Simen Kristoffersen,47,55 54 14 80,Solheims Gate 06,6216,Nær,Alaskan Malamute
Camilla Berg,41,334 32 798,Gamle Geiterygghaugen 34,0031,Inn,Braque de l'Ariège
Linnea Christiansen,83,+47 54 02 48 36,Rognetunet 5,4860,Ut,Thai
Nora Aalerud,54,64102227,Nedre Elverøa 21,3793,Tand,Oriental
Maren Smogeli,32,+47 88 49 82 00,Konvallekra 96,4902,Stav,Devon Rex
Emma Tangen,65,895 83 387,2825,Nord,Turkish Van
Jenny Andersen,57,+47 99 50 22 49,Larsgata 51,0534,Sme,Silken Windhound
Even Aalerud,61,+47 27 12 50 86,Bakkengata 3,4604,Sme,Beagle
Vilde Jørgensen,73,16 55 01 28,Nedre Bekkegjerdet 05,8003,Tand,Somali
Fredrik Bjerke,45,+47 37 61 07 75,Andreas Gate 77,5590,Tand,Turkish Van
Dr. Aurora Nygård,47,90071370,Høylunden 0,3036,Lo,Pachon Navarro
Lucas Fjeld,73,07 83 62 17,Elverøa 72,0700,Stav,Devon Rex
Fredrik Ødegård,20,+47 68 28 27 95,Joakims Gate 9,0940,Nær,Norfolk Terrier
Sara Kleven,91,+47 07 16 67 99,0056,Mal,LaPerm
Elise Hagen,93,57 75 69 08,Søndre Prestestranda 4,8811,Lille,Polish Lowland Sheepdog
Dr. Sebastian Olstad,87,39654894,Nedre Klokkerekra 6,4719,Fager,Russian Blue
Maja Jakobsen,77,95590973,Vestre Klokkeråsen 5,0744,Lo,Tonkinese
Aurora Johannessen IV,16,+47 16 58 32 40,Øvre Bekkeflata 7,8476,Ut,Maine Coon
Julie Johansen,48,74 24 64 31,Bjørkestien 4,0772,Mal,Minskin
Dr. Thomas Kristiansen,49,033 26 115,Nedre Lilleekra 33,2285,Fet,Ragdoll
Sebastian Skoglund,64,89 52 77 98,Sebastians Gate 2,6140,Stav,Munchkin
Helene Hagen,91,+47 49 48 33 22,Husebys Vei 6,0456,Sand,Himalayan
Marius Bjerke Sr.,32,563 66 822,Nedre Litjroa 2,1071,Nær,Slovenský Kopov
Silje Hansen,48,+47 54 15 48 12,Søndre Fiolskrenten 4,0232,Lo,Cimarrón Uruguayo
Eirik Henriksen Sr.,95,32296965,Jørgensengata 5,0629,Nær,Molossus of Epirus
Ida Edvardsen,61,64181171,Moensvei 19,1591,Lo,Kangal Shepherd Dog
Vilde Mathisen,16,03185277,Østre Tingstien 7,2045,Sme,Serengeti
Marie Andreassen,88,34 88 72 23,Mikkelsgate 1,0030,Sand,Yakutian Laika
Sebastian Bjerke,88,56 92 30 39,Mathildes Vei 7,5489,Inn,Sardinian Shepherd Dog
Lars Arnesen,24,+47 04 21 38 50,Søndre Høyvika 92,0289,Høy,Chausie
Eirik Christiansen,74,03 55 69 13,Vasslyngen 57,0118,Høy,undefined
Helene Myhrer,87,+47 01 03 74 55,Torgersens Gate 2,8078,Tand,Havana
Hedda Hansen,53,25 54 10 38,Bjerkesvei 54,2221,Nord,Manx
53,208 12 647,Østre Torgkollen 21,0473,Høy,Burmese
Dr. Håkon Ryan,17,95158729,Østre Litjløkka 8,1063,Mal,Egyptian Mau
Tuva Jakobsen,83,51 31 02 92,Thoresens Vei 8,2255,Nord,Donskoy
Kristine Nordskaug,74,53432165,Sofies Gate 6,3147,Ut,Somali
Aksel Tangen,90,86 64 72 14,Heggeflata 9,0313,Inn,Chinook
Herman Ruud,77,246 21 605,Prestetoppen 0,1300,Sme,Kars
Sunniva Borge,68,+47 92 71 76 93,Østre Malmhagen 7,8858,Nord,Turkish Van
Nora Berg,17,+47 52 96 52 69,Solåsen 3,0849,Inn,Birman
Markus Berntsen,75,96 83 60 18,Nedre Sjøvika 95,7143,Fager,Chausie
Prof. Henrik Svendsen I,34,706 04 479,Gransvei 4,0278,Tand,Danish-Swedish Farmdog
Theodor Nygård,15,66928551,Moegata 2,9300,Vest,Skye Terrier
